x_float,tanh_ref,pwl_liu,pwl_v2,ae_liu,ae_v2
-4.000000,-0.999329,-1.000000,-1.000000,0.000671,0.000671
-3.996094,-0.999324,-1.000000,-0.999512,0.000676,0.000188
-3.992188,-0.999319,-1.000000,-0.999023,0.000681,0.000295
-3.988281,-0.999313,-1.000000,-0.998535,0.000687,0.000778
-3.984375,-0.999308,-1.000000,-0.998047,0.000692,0.001261
-3.980469,-0.999303,-1.000000,-0.997559,0.000697,0.001744
-3.976562,-0.999297,-1.000000,-0.997070,0.000703,0.002227
-3.972656,-0.999292,-1.000000,-0.996582,0.000708,0.002710
-3.968750,-0.999286,-1.000000,-0.996094,0.000714,0.003192
-3.964844,-0.999280,-1.000000,-0.995605,0.000720,0.003675
-3.960938,-0.999275,-1.000000,-0.995117,0.000725,0.004158
-3.957031,-0.999269,-1.000000,-0.994629,0.000731,0.004640
-3.953125,-0.999263,-1.000000,-0.994141,0.000737,0.005123
-3.949219,-0.999258,-1.000000,-0.993652,0.000742,0.005605
-3.945312,-0.999252,-1.000000,-0.993164,0.000748,0.006088
-3.941406,-0.999246,-1.000000,-0.992676,0.000754,0.006570
-3.937500,-0.999240,-1.000000,-0.992188,0.000760,0.007053
-3.933594,-0.999234,-1.000000,-0.991699,0.000766,0.007535
-3.929688,-0.999228,-1.000000,-0.991211,0.000772,0.008017
-3.925781,-0.999222,-1.000000,-0.990723,0.000778,0.008499
-3.921875,-0.999216,-1.000000,-0.990234,0.000784,0.008982
-3.917969,-0.999210,-1.000000,-0.989746,0.000790,0.009464
-3.914062,-0.999204,-1.000000,-0.989258,0.000796,0.009946
-3.910156,-0.999197,-1.000000,-0.988770,0.000803,0.010428
-3.906250,-0.999191,-1.000000,-0.988281,0.000809,0.010910
-3.902344,-0.999185,-1.000000,-0.987793,0.000815,0.011392
-3.898438,-0.999178,-1.000000,-0.987305,0.000822,0.011874
-3.894531,-0.999172,-1.000000,-0.986816,0.000828,0.012355
-3.890625,-0.999165,-1.000000,-0.986328,0.000835,0.012837
-3.886719,-0.999159,-1.000000,-0.985840,0.000841,0.013319
-3.882812,-0.999152,-1.000000,-0.985352,0.000848,0.013801
-3.878906,-0.999146,-1.000000,-0.984863,0.000854,0.014282
-3.875000,-0.999139,-1.000000,-0.984375,0.000861,0.014764
-3.871094,-0.999132,-1.000000,-0.983887,0.000868,0.015245
-3.867188,-0.999125,-1.000000,-0.983398,0.000875,0.015727
-3.863281,-0.999118,-1.000000,-0.982910,0.000882,0.016208
-3.859375,-0.999112,-1.000000,-0.982422,0.000888,0.016690
-3.855469,-0.999105,-1.000000,-0.981934,0.000895,0.017171
-3.851562,-0.999098,-1.000000,-0.981445,0.000902,0.017652
-3.847656,-0.999091,-1.000000,-0.980957,0.000909,0.018133
-3.843750,-0.999083,-1.000000,-0.980469,0.000917,0.018615
-3.839844,-0.999076,-1.000000,-0.979980,0.000924,0.019096
-3.835938,-0.999069,-1.000000,-0.979492,0.000931,0.019577
-3.832031,-0.999062,-1.000000,-0.979004,0.000938,0.020058
-3.828125,-0.999054,-1.000000,-0.978516,0.000946,0.020539
-3.824219,-0.999047,-1.000000,-0.978027,0.000953,0.021020
-3.820312,-0.999039,-1.000000,-0.977539,0.000961,0.021500
-3.816406,-0.999032,-1.000000,-0.977051,0.000968,0.021981
-3.812500,-0.999024,-1.000000,-0.976562,0.000976,0.022462
-3.808594,-0.999017,-1.000000,-0.976074,0.000983,0.022942
-3.804688,-0.999009,-1.000000,-0.975586,0.000991,0.023423
-3.800781,-0.999001,-1.000000,-0.975098,0.000999,0.023904
-3.796875,-0.998993,-1.000000,-0.974609,0.001007,0.024384
-3.792969,-0.998985,-1.000000,-0.974121,0.001015,0.024864
-3.789062,-0.998977,-1.000000,-0.973633,0.001023,0.025345
-3.785156,-0.998969,-1.000000,-0.973145,0.001031,0.025825
-3.781250,-0.998961,-1.000000,-0.972656,0.001039,0.026305
-3.777344,-0.998953,-1.000000,-0.972168,0.001047,0.026785
-3.773438,-0.998945,-1.000000,-0.971680,0.001055,0.027265
-3.769531,-0.998937,-1.000000,-0.971191,0.001063,0.027745
-3.765625,-0.998928,-1.000000,-0.970703,0.001072,0.028225
-3.761719,-0.998920,-1.000000,-0.970215,0.001080,0.028705
-3.757812,-0.998912,-1.000000,-0.969727,0.001088,0.029185
-3.753906,-0.998903,-1.000000,-0.969238,0.001097,0.029665
-3.750000,-0.998894,-1.000000,-0.968750,0.001106,0.030144
-3.746094,-0.998886,-1.000000,-0.968262,0.001114,0.030624
-3.742188,-0.998877,-1.000000,-0.967773,0.001123,0.031104
-3.738281,-0.998868,-1.000000,-0.967285,0.001132,0.031583
-3.734375,-0.998859,-1.000000,-0.966797,0.001141,0.032062
-3.730469,-0.998850,-1.000000,-0.966309,0.001150,0.032542
-3.726562,-0.998841,-1.000000,-0.965820,0.001159,0.033021
-3.722656,-0.998832,-1.000000,-0.965332,0.001168,0.033500
-3.718750,-0.998823,-1.000000,-0.964844,0.001177,0.033979
-3.714844,-0.998814,-1.000000,-0.964355,0.001186,0.034458
-3.710938,-0.998805,-1.000000,-0.963867,0.001195,0.034937
-3.707031,-0.998795,-1.000000,-0.963379,0.001205,0.035416
-3.703125,-0.998786,-1.000000,-0.962891,0.001214,0.035895
-3.699219,-0.998776,-1.000000,-0.962402,0.001224,0.036374
-3.695312,-0.998767,-1.000000,-0.961914,0.001233,0.036853
-3.691406,-0.998757,-1.000000,-0.961426,0.001243,0.037331
-3.687500,-0.998747,-1.000000,-0.960938,0.001253,0.037810
-3.683594,-0.998738,-1.000000,-0.960449,0.001262,0.038288
-3.679688,-0.998728,-1.000000,-0.959961,0.001272,0.038767
-3.675781,-0.998718,-1.000000,-0.959473,0.001282,0.039245
-3.671875,-0.998708,-1.000000,-0.958984,0.001292,0.039723
-3.667969,-0.998697,-1.000000,-0.958496,0.001303,0.040201
-3.664062,-0.998687,-1.000000,-0.958008,0.001313,0.040679
-3.660156,-0.998677,-1.000000,-0.957520,0.001323,0.041157
-3.656250,-0.998667,-1.000000,-0.957031,0.001333,0.041635
-3.652344,-0.998656,-1.000000,-0.956543,0.001344,0.042113
-3.648438,-0.998646,-1.000000,-0.956055,0.001354,0.042591
-3.644531,-0.998635,-1.000000,-0.955566,0.001365,0.043069
-3.640625,-0.998624,-1.000000,-0.955078,0.001376,0.043546
-3.636719,-0.998614,-1.000000,-0.954590,0.001386,0.044024
-3.632812,-0.998603,-1.000000,-0.954102,0.001397,0.044501
-3.628906,-0.998592,-1.000000,-0.953613,0.001408,0.044978
-3.625000,-0.998581,-1.000000,-0.953125,0.001419,0.045456
-3.621094,-0.998570,-1.000000,-0.952637,0.001430,0.045933
-3.617188,-0.998558,-1.000000,-0.952148,0.001442,0.046410
-3.613281,-0.998547,-1.000000,-0.951660,0.001453,0.046887
-3.609375,-0.998536,-1.000000,-0.951172,0.001464,0.047364
-3.605469,-0.998524,-1.000000,-0.950684,0.001476,0.047841
-3.601562,-0.998513,-1.000000,-0.950195,0.001487,0.048317
-3.597656,-0.998501,-1.000000,-0.949707,0.001499,0.048794
-3.593750,-0.998489,-1.000000,-0.949219,0.001511,0.049270
-3.589844,-0.998477,-1.000000,-0.948730,0.001523,0.049747
-3.585938,-0.998465,-1.000000,-0.948242,0.001535,0.050223
-3.582031,-0.998453,-1.000000,-0.947754,0.001547,0.050699
-3.578125,-0.998441,-1.000000,-0.947266,0.001559,0.051176
-3.574219,-0.998429,-1.000000,-0.946777,0.001571,0.051652
-3.570312,-0.998417,-1.000000,-0.946289,0.001583,0.052128
-3.566406,-0.998404,-1.000000,-0.945801,0.001596,0.052604
-3.562500,-0.998392,-1.000000,-0.945312,0.001608,0.053079
-3.558594,-0.998379,-1.000000,-0.944824,0.001621,0.053555
-3.554688,-0.998367,-1.000000,-0.944336,0.001633,0.054031
-3.550781,-0.998354,-1.000000,-0.943848,0.001646,0.054506
-3.546875,-0.998341,-1.000000,-0.943359,0.001659,0.054981
-3.542969,-0.998328,-1.000000,-0.942871,0.001672,0.055457
-3.539062,-0.998315,-1.000000,-0.942383,0.001685,0.055932
-3.535156,-0.998302,-1.000000,-0.941895,0.001698,0.056407
-3.531250,-0.998288,-1.000000,-0.941406,0.001712,0.056882
-3.527344,-0.998275,-1.000000,-0.940918,0.001725,0.057357
-3.523438,-0.998261,-1.000000,-0.940430,0.001739,0.057832
-3.519531,-0.998248,-1.000000,-0.939941,0.001752,0.058306
-3.515625,-0.998234,-1.000000,-0.939453,0.001766,0.058781
-3.511719,-0.998220,-1.000000,-0.938965,0.001780,0.059255
-3.507812,-0.998206,-1.000000,-0.938477,0.001794,0.059730
-3.503906,-0.998192,-1.000000,-0.937988,0.001808,0.060204
-3.500000,-0.998178,-1.000000,-0.937500,0.001822,0.060678
